IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
59.23.21.147,30012,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,231,6.85
175.125.207.253,12121,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,230,6.63
211.75.243.91,16764,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,410,6.49
220.81.178.30,12306,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,279,4.84
38.47.121.241,31981,TRUE,NRT,JP,Asia Pacific,Tokyo,49901,Kuiper Network Ltd,328,4.81
140.238.12.52,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,634,4.62
220.81.132.214,29798,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,339,3.49
175.121.84.216,21242,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,221,3.36
146.56.144.32,11202,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,769,3.34
14.39.251.200,12442,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,326,3.25
211.195.68.80,12290,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,332,3.14
221.145.90.29,10000,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,350,2.60
121.168.235.70,33338,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,295,2.34
211.192.158.219,10122,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,335,2.04
59.22.136.160,10042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,192,2.01
211.51.185.137,21083,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,289,1.98
152.70.245.66,12693,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,321,1.85
152.70.234.188,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,439,1.84
14.50.174.164,12458,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,207,1.72
121.162.197.175,10103,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,464,1.54
58.145.73.59,12322,TRUE,KIX,JP,Asia Pacific,Osaka,9689,SK Broadband Co Ltd,433,1.47
139.224.43.79,443,TRUE,NRT,JP,Asia Pacific,Tokyo,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",489,1.08
140.238.20.223,35913,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,337,1.04
103.170.233.160,4308,TRUE,NRT,JP,Asia Pacific,Tokyo,142616,"Misaka Network, Inc.",221,0.57
146.56.99.255,56789,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,571,0.51
140.238.8.194,15800,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,691,0.21
172.84.92.108,42304,TRUE,NRT,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,252,0.07
172.84.92.174,8526,TRUE,NRT,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,271,0.07
193.123.250.209,2087,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,755,0.07
3.112.21.102,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,406,0.03
172.84.92.152,58723,TRUE,NRT,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,591,0.02
